sentence,processing_sentence
고객요청사항임의회선시청불위성오류리셋해보심회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의회 건 시청 불 위성 오류 리셋해 보심 회선 단말 특이사항 진단 결과 기타 추가 연락처
 리셋접수고객요청사항대 수신불 리셋회선단말특이사항진단결과정상기타추가연락처,리셋 접수 고객 요청사항 대 수신 불 리셋 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항화질이상화면 어두워짐단말리셋 후 정상회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 화질 이상 화면 어두워짐 단말 리셋 후 정상 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
수신불 수시로 셋탑꺼짐현상 독촉,수신 불 수시로 셋탑 꺼짐 현상 독촉
고객요청사항 수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항전원이상회선단말특이사항진단결과기타추가연락처,고객 요청사항 전원 이상 회선 단말 특이사항 진단 결과 기타 추가 연락처
봇리셋접수인수신불리셋안내,봇리셋 접수인 수신 불 리셋 안내
오전고객요청사항수신불 신비정상 점검요청회선단말특이사항진단결과기타추가연락처인입,오전 고객 요청사항 수신 불 신비 정상 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처인 입
고객요청사항시청불 부전원정상 외부입력정상 리셋  코로나무 미리연락요 회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불 부 전원 정상 외부 입력 정상 리셋 코로 나무 미리 연락요 회선 단말 특이사항 진단 결과 기타 추가 연락처
일시안내화면떨림,일시 안내 화면 떨림
 택배발송요청 추티거,택배 발송 요청 추티거
고객요청사항수신불 안되는셋탑 확인 잦은고장불만으로 꼼꼼한 점검요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 안 되는 셋탑 확인 잦은 고장 불만으로 꼼꼼한 점검 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항수신불회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 대만 수신불연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 대만 수신 불연 후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항 수신불  네트워크오류뜸  미리연락후회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류뜸 미리 연락 우회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋티비 수신불장비재부팅안내   ,리셋 티브이 수신불장비재부팅 안내
리모컨고장매장안내문자발송완,리모컨 고장 매장 안내 문자 발송은
고객요청사항셋탑전원안들어옴방문전연락요회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋 탑 전 원안 들어옴 방문 전 연락 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비대중 거실에 있는 티비만 시청중 갑자기 끊기거나 화면이 저절로 꺼져 버린다며 점검요청연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 티비대 중 거실에 있는 티브이만 시청 중 갑자기 끊기거나 화면이 저절로 꺼져 버린다며 점검 요청 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항대만 시청불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 대만 시청 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수 수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
티수신불코로나무연후방고객요청사항회선단말특이사항진단결과기타추가연락처,이 수신 불 코로나무 연 후방 고객 요청사항 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
방문독촉고객요청사항수신불 회선단말특이사항진단결과정상기타추가연락처,방문 독촉 고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항수신불 외부대리신고  최대한 빠른방문요청 취소건 있을시 먼저요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 외부 대리신고 최대한 빠른 방문 요청 취소 건 있을 시 먼저 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
시이후 방문요청 고객요청사항티비시청중 끊김증상 회선단말특이사항진단결과정상 기타추가연락처,시 이후 방문 요청 고객 요청사항 티브이 시청 중 끊김 증상 회선 단말 특이사항 진단 결과 정상 기타 추가 연락처
고객요청사항수신불지난주금요일부터 못보고계시다며 빠른방문요청 회선단말특이사항코로나이상무 진단결과기타추가연락처,고객 요청사항 수신 불 지난주 금요일부터 못 보고 계시다며 빠른 방문 요청 회선 단말 특이사항 코로나 이 상무 진단 결과 기타 추가 연락처
권유실패고객요청사항 수시로 네트워크오류뜸방문점검요청회선단말특이사항진단결과기타추가연락처  연후방,권유 실패 고객 요청사항 수시로 네트워크 오류뜸 방문 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
고객요청사항리셋접수시간일부채널 수신불번만 나오고 모든 채널 다 안나옴회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 시간 일부 채널 수신 부을 번만 나오고 모든 채널 다 안 나옴 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 고장 매장안내,리모컨 고장 매장 안내
 시 대중 거실 한대고장고장전원 들어왔다 안들어왔다함재부팅확인함,시 대중 거실 한대고 장 교장 전원 들어왔다 안 들어왔다 함 재부팅 확인함
고객요청사항수신불비정상회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불비 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불대연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불대 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비교체후티비연결요청함방문전연락요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 교체 후 티티 연결 요청함 방문 전 연락 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 셋탑 전원 안들어옴회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 셋탑 전원 안 들어 옴회선 단말 특이사항 진단 결과 기타 추가 연락처
기가지니  시청중 화면 깨짐 방문점검요쳥 연후방 ,기가 지니 시청 중 화면 깨짐 방문 점검요 쳥 연후방
코로나무고객요청사항  거실한대 시청중  화면 깜깜해졌다가 다시나온다함 방문해서점검요청점점 증상자주나타나서 불편하다며 불만 방문시꼼꼼점검요청 독촉 빠른방문원당일가능시방문요청회선단말특이사항진단결과올인홈 댁내 정상기타추가연락처,코로 나무 고객 요청사항 거실 한대 시청 중 화면 깜깜해졌다가 다시 나온 다함 방문해서 점검 요청 점점 중상자 주 나타나서 불편하다며 불만 방문 시 꼼꼼 점검 요청 독촉 빠른 방문원 당일 가능 시 방문 요청회 선 단말 특이사항 진단 결과 올인 홈 댁 내 정상기 타 추가 연락처
고객요청사항리모컨 배터리 소모량 심함새로 바꾸면 일밖에 안간다며 방문해서점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 배터리 소모량 심함 새로 바꾸면 일밖에 안 간다며 방문해서 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화질이상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 회선 단말 특이사항 진단 결과 기타 추가 연락처
 일반문의  서비스번   문의 내용  리모콘 작동이 안 돼서요기가지니 셋톱박스 연결돼 있는 리모컨이 배터리 바꿨는데도 작동이 안 돼서요,일반 문의 서비스 번 문의 내용 리모컨 작동이 안 돼서 요기가 지니 셋톱박스 연결돼 있는 리모컨이 배터리 바꿨는데도 작동이 안 돼서요
서비스번 문의자 김문선배우자문의내용 및 처리내용 지붕공사로 스카이라이프안테나 당일 빠른회수요청하십니다 변경고객으로 확인됨빠른처리부탁드립니다추가문의,서비스 번 문의 자 김문순 배우자 문의 내용 및 처리 내용 지붕공사로 스카이라이프 안테나 당일 빠른 회수 요청하십니다 변경 고객으로 확인됨 빠른 처리 부탁드립니다 추가 문의
독촉심고객요청사항끊김 리셋안내회선단말특이사항진단결과기타추가연락처,독촉 심 고객 요청사항 끊김 리셋 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수시간내외 수신불로딩중회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 시간 내외 수신불로딩 중 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨 택배 배송안내 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 택배 배송 안내 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항  랑 연결된 스피커 전원고객측 회선단말특이사항진단결과기타추가연락처,고객 요청사항 랑 연결된 스피커 전원 고객 측 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수시간내외리콜안내수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 시간 내 외 리콜 안내서 신불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항  접속불연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 접속 불연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
멀고객요청사항티수신불재부팅해도 동일회선단말특이사항진단결과기타추가연락처,멀고 객 요청사항이 수신 불지 부팅해도 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항티수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항이 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수시간전후리콜안내 티 수신불  연 회선단말특이사항 안방정상진단결과기타추가연락처,고객 요청사항리셋 접수 시간 전후 리콜 안내 티 수신 불 연 회 선단 말 특이사항 안방 정상 진단 결과 기타 추가 연락처
멀고객요청사항  수신불리셋회선단말특이사항진단결과기타추가연락처 ,멀고 객 요청사항 수신 불 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 임의회선 수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의회 선 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 티수신불 취소건 발생시 빠른방문 희망코로나무회선단말특이사항진단결과포트 확인불가기타추가연락처,고객 요청사항 이 수신 불 취소 건 발생 시 빠른 방문 희망 코로 나무 회선 단말 특이사항 진단 결과 포트 확인 불가 기타 추가 연락처
고객요청사항수신불량회선단말특이사항진단결과비정상기타추가연락처빠른 방문요청 코로나 무,고객 요청사항 수신 불량 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처 빠른 방문 요청 코로나 무
고객요청사항멀 코로나 무 임의회선 동  선 연결요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 멀 코로나 무 임의회 선 동 선 연결 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
멀 코로나이상무재확인필 고객요청사항티 수신불 기사 빠른 방문요청회선단말특이사항진단결과정상기타추가연락처,멀 코로나 이 상 무 재확인 필 고객 요청사항 티 수신 불 기사 빠른 방문 요청회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
봇코로나이상무재확인필고객요청사항수신불회선단말특이사항진단결과모뎀정상기타추가연락처,봇코로나 이 상 무재 확인 필 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 모뎀 정상기 타 추가 연락처
멀고객요청사항수신불회선단말특이사항진단결과기타추가연락처최대한빨리,멀고 객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 최대한 빨리
 일반문의  서비스번   문의 내용  리모콘이 밑으로 오래 쓰다 보니까 이게 리모컨이 밑으로 잘 안넣을려지거든요방문하셔서 저희가 거의 저녁때 퇴근을 해야 돼서월요일부터 금요일 평일 싶어 정보가 확인되고 있어요,일반 문의 서비스 번 문의 내용 리모컨이 밑으로 오래 쓰다 보니까 이게 리모컨이 밑으로 잘 안 넣으려 지거든요 방문하셔서 저희가 거의 저녁때 퇴근을 해야 돼서 월요일부터 금요일 평일 싶어 정보가 확인되고 있어요
코로나무고객요청사항 리모컨 작동불반응없음 리모컨 교체 받아온거라함 방문하여  문제인지 리모컨 문제인지 점검요청어플문자발송회선단말특이사항진단결과기타추가연락처,코로 나무 고객 요청사항 리모컨 작동 불 반응 없음 리모컨 교체 받아온 거라 함 방문하여 문제인지 리모컨 문제인지 점검 요청 어플 문자 발송 회선 단말 특이사항 진단 결과 기타 추가 연락처
빠른방문원함 고객요청사항 고객지붕위작업후 티비안됨 코로나안내 회선단말특이사항진단결과기타추가연락처,빠른 방문 원함 고객 요청사항 고객 지붕 이 작업 후 티브이 안됨 코로나 안내 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
대모두리모컨작동불배송등록함,대 모두 리모컨 작동 불 배송 등록함
고객요청사항인터넷과 작은방에 이용중인 티비수신불꼼꼼한점검부탁드립니다연후방코로나이상무회선단말특이사항진단결과기타추가연락처,고객 요청사항 인터넷과 작은방에 이용 중인 티브이 수 신불 꼼꼼한 점검 부탁드립니다 연 후방 코로나 이 상무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 인 연결안됨 회선단말특이사항진단결과기타추가연락처,고객 요청사항인 연결 안 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
결제고객요청사항기가지니대수신불회선단말특이사항전원안들어옴진단결과기타추가연락처,결제 고객 요청사항기가 지니 대구 신불 회선 단말 특이사항 전 원안 들어옴 진단 결과 기타 추가 연락처
고객요청사항임의 수신불 외부신고  회선단말특이사항진단결과정상 기타추가연락처,고객 요청사항 임의 수신 불 외부 신고 회선 단말 특이사항 진단 결과 정상 기타 추가 연락처
코로나이상무재확인필고객요청사항 티비화질불량멈추는현상있음리모컨작동불리모컨교체요청회선단말특이사항 진단결과 기타추가연락처 인입 연락후,코로나 이 상무 재확인 필 고객 요청사항 티브이 화질 불량 멈추는 현상 있음 리모컨 작동 부을 리모컨 교체 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처인 입 연락 후
 대  수신불  연락후방문,대 수신 불 연락 후 방문
고객요청사항티비 수신불연결오류팝업연후방 일 당일 또는 최대한 빠른방문참고회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 수신불연결오류팝업 연 후방 일 당일 또는 최대한 빠른 방문 참고 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나 이상무  재확인 필빠른 방문요청고객요청사항수신불 인터넷 연결오류 회선단말특이사항진단결과정상기타추가연락처인입번 ,코로나 이 상무 재확인 필 빠른 방문 요청 고객 요청사항 수신 불 인터넷 연결 오류 회선단 말이 특이 사항 진단 결과 정상기 타 추가 연락처인 입번
임의접수 동   수신 불  코로나 무,임의 접수 동 수신 불 코로나 무
 월 일 시시 수신불유투브쪽 소리가 안들리신다심 외부입력변환해보셨으나 일반 유선채널만 나오신다심 권한재송출,월일 시 시 수신 불유 튜브 쪽 소리가 안 들리신 다심 외부 입력 변환해 보셨으나 일반 유선채널만 나 오신 다심 권한 자 송출
봇코로나이상무재확인필고객요청사항 리모컨 고장  음향조절 및 기능 조작이 안된다고함  방문요청   리모컨 교체희망회선단말특이사항진단결과 리모컨기타추가연락처,봇코로나 이 상 무재 확인 필 고객 요청사항 리모컨 고장 음향 조절 및 기능 조작이 안 된다고 함 방문 요청 리모컨 교체 희망 회선 단말 특이사항 진단 결과 리모컨 기타 추가 연락처
고객요청사항복수단말 구분안됨대 수신불회선단말특이사항진단결과기타추가연락처연후방최대한빠른방문요청,고객 요청사항 복수단 말 구분 안됨대 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방 최대한 빠른 방문 요청
고객요청사항 수신불 네트워크 확인필요회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 확인 필요 회선 단말 특이사항 진단 결과 기타 추가 연락처
월일시셋탑작동불,월 일시 셋탑 작동 불
고객요청사항 수신불 외부신고회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 외부 신고 회선 단말 특이사항 진단 결과 기타 추가 연락처
인입거실수신불리셋안내,인입 거실 수신 불 리셋 안내
멀화질이상올인홈정상코로나안내방문전연락,멀 화질 이상 올인 홈 정상 코로나 안내 방문 전 연락
고객요청사항리모컨작동불 거부 방문요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불 거부 방문 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
멀코로나이상무고객요청사항선재연결위치변경연후방회선단말특이사항주소확인진단결과기타추가연락처,멀 코로나 이 상무 고객 요청사항 선재 연결 위치 변경은 후방 회선 단말 특이사항 주소 확인 진단 결과 기타 추가 연락처
코로나 이상무재확인필고객요청사항티비대 채널만 화면에 줄이 그어지듯이 나온다고하심모뎀셋톱 재부팅해도 동일현상 반복회선단말특이사항진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티비대 채널만 화면에 줄이 그어지듯이 나온다고 하심 모뎀 셋톱 재부팅해도 동일 현상 반복회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항      재연결  코로나 이상무 재확인필 임의 회선 접수 회선단말특이사항정상 진단결과기타추가연락처,고객 요청사항 재연결 코로나 이 상무 재확인 필 임의 회선 접수 회선 단말 특이사항 정상 진단 결과 기타 추가 연락처
리모컨에서 편성표 버튼만안됨 비정상 그외 모든버튼정상 ,리모컨에서 편성표 버튼만 안됨 비정상 그 외 모든 버튼 정상
고객요청사항티불통코로나무 회선 불통회선단말특이사항진단결과기타추가연락처,고객 요청사항 티불통코로나무 회선 불통 회선 단말 특이사항 진단 결과 기타 추가 연락처
멀고객요청사항티대 끊김현상태풍오고난 후 계속 그렇다고 하심코로나 이상무회선단말특이사항진단결과정상기타추가연락처,멀고 객 요청사항 치대 끊김 현 상 태풍 오고 난 후 계속 그렇다고 하심 코로나 이 상무 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
리모컨  기가지니 리모콘 작동불 배터리 방전이 빨리된다고 함 교체해봐도 동일 택배교체요청 전송 후 등록함,리모컨 기가 지니 리모컨 작동 불 배터리 방전이 빨리 된다고 함 교체해봐도 동일 택배 교체 요청 전송 후 등록함
고객요청사항  화면이 시청중 꺼졌다 켜졌다 반복됨 잦은고장 꼼꼼하게 점검요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 화면이 시청 중 꺼졌다 켜졌다 반복됨 잦은 고장 꼼꼼하게 점검 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항리모컨일부버튼작동불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 일부 버튼 작동 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필 고객요청사항기가지니 리모컨 너무 뜨거워서 교체요청 회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항기가 지니 리모컨 너무 뜨거워서 교체 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
임의고객요청사항수신불 주인분대리신고 정확한 회선고장상태확인불회선단말특이사항진단결과공동회선기타추가연락처일시접수,임의 고객 요청사항 수신 불 주인분 대리신고 정확한 회선 고장 상태 확인 불회선 단말 특이사항 진단 결과 공동 회선 기타 추가 연락처 일시 접수
오후수신불로딩중올인홈정상리셋약정기간문의하여전환,오후 수신 불로 딩 중 올인 홈 정상리 셋 약정기간 문의하여 전환
코로나 이상무 재확인필 고객요청사항수신불  화면 안나옴   회선단말특이사항진단결과정상 기타추가연락처요청 인 ,코로나 이 상무 재확인 필 고객 요청사항 수신 불 화면 안 나옴 회선단 말이 특이 사항 진단 결과 정상 기타 추가 연락처 요청인
멀고객요청사항수신불연결이원활하지않다고뜬다심연후방코로나무회선단말특이사항진단결과기타추가연락처,멀고 객 요청사항 수신부 연결이 원활하지 않다고 뜬다 심연 후방 코로 나무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청중화면깨짐회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 중 화면 깨짐 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항기가지니 음성인식불외부신고 방문점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항기가 지니 음성인식 부을 외부 신고 방문 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항티수신불회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 연락후회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 연락 우회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 고장  고정 셋탑변경진행중 되어있음 안내하니 보류,리모컨 고장 고정 셋탑 변경 진행 중 되어 있음 안내하니 보류
고객요청사항독촉최대당겨점검요시청불어른신만계시는곳이라 빠른방문요청함회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 독촉 최대 당겨 점검이 시청 분 어른 신만 계시는 곳이라 빠른 방문 요청함 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
고객요청사항리모컨 고장배터리교체후에도 사용불가침수파손이력 없다고함 엔지니어 방문점검요청고장시 교체요청 회선단말특이사항기본티비기가지니 진단결과기타추가연락처,고객 요청사항 리모컨 고 장 배터리 교체 후에도 사용 불가 침수 파손 이력 없다고 함 엔지니어 방문 점검 요청 고장 시 교체 요청 회선단 말이 특이 사항 기본 티이기가 지니 진단 결과 기타 추가 연락처
용수평고객요청사항 세입자 이사 재연결요청회선단말특이사항진단결과기타추가연락처,용수평 고객 요청사항 세입자 이사 재연결 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
본인 인티장비회수요청 당분간정지되고현재장소건물부신다고우선장비회수요청하심연락바랍니다,본인 인티 장비 회수 요청 당분간 정지되고 현재 장소 건물 부신다고 우선 장비 회수 요청하심 연락 바랍니다
리모컨 시시 작동불 작동 안될 때   건전지 확인함 택배요청 등록 리모컨,리모컨 시 시 작동 불 작동 안 될 때 건전지 확인함 택배 요청 등록 리모컨
기가지니 음성인식 안됨 셋탑 재부팅 음성인식 차단해제 후 정상ㅇ 네소리에서 띵소리 변경됨 안내,기가 지니 음성인식 안됨 셋탑 재부팅 음성인식 차단 해제 후 정상ㅇ 네 소리에서 띵소리 변경됨 안내
코로나무 고객요청사항 지상파만 시청되고 다른채널은시청안됨 셋탑리셋  회선단말특이사항진단결과기타추가연락처,코로 나무 고객 요청사항 지상파만 시청되고 다른 채널은 시청 안됨 셋톱 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋 티비수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 티브이 수 신불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항  사용 불가  안켜짐  연후방  코로나 무  연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 사용 불가 안 켜짐 연후방 코로나 무 연후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항티 수신불 신정상 리셋안내 현재 집에 없어 추후 시도후 안될시 연락주시기로함회선단말특이사항진단결과기타추가연락처,고객 요청사항 티 수신 불 신정상 리셋 안내 현재 집에 없어 추후 시도 후 안 될 시 연락 주시기로 한 회 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비 수신불회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 티브이 수 선불 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
요청시간 고객요청사항 수신불 연락후회선단말특이사항진단결과기타추가연락처,요청 시간 고객 요청사항 수신 불 연락 우회선 단말 특이사항 진단 결과 기타 추가 연락처
차리셋해도 동일  인터넷연결오류 잦은고장불만  지연불만 독촉연락후방문요고객요청사항 리셋접수수신불리셋회선단말특이사항진단결과기타추가연락처,차 리셋해도 동일 인터넷 연결 오류 잦은 고장 불만 지연 불만 독촉 연락 후 방문요 고객 요청사항 리셋 접수 수신 불 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필 고객요청사항 티비 수신불 회선단말특이사항 세입자 임의진단결과 정상신 기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티브이 수신 불 회선 단말 특이사항 세입자 임의 진단 결과 정상인 기타 추가 연락처
고객요청사항 티수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 티슈 신불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항외부신고 지니 전원버튼고장 작동이상 주전원버튼튕겨져나옴 회선단말특이사항진단결과정상 기타추가연락처,고객 요청사항 외부 신고 지니 전원 버튼 고장 작동 이상 주 전원 버튼 튕겨져 나옴 회선 단말 특이사항 진단 결과 정상 기타 추가 연락처
고객요청사항대 선 분리 후 시청불  위치변경무 회선단말특이사항진단결과기타추가연락처,고객 요청사항 대선 분리 후 시청 불 위치 변경 무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 티접불 회선단말특이사항진단결과기타추가연락처 ,고객 요청사항 피접 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항회선단말특이사항진단결과기타추가연락처,고객 요청사항 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨일부버튼인식잘안됨건전지교체해봄안될때소등택배등록리모컨,리모컨 일부 버튼 인식 잘 안됨 건전지 교체해 봄 안 될 때 소등 택배 등록 리모컨
고객요청사항티 접속불 회 선 전부 회선단말특이사항진단결과기타추가연락처,고객 요청사항 티 접속 불 회 선 전부 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항코로나무 기가지니 작동불임의회선 리셋후 동일 방문전선연락회선단말특이사항진단결과기타추가연락처,고객 요청사항 코로 나무 기가 지니 작동 불임의 회선 리셋 후 동일 방문 전선 연락 회선 단말 특이사항 진단 결과 기타 추가 연락처
대안방쪽 연결잘안되고 색감안좋다고함자가격리중으로 보류,대안방 쪽 연결 잘 안되고 색 감 안 좋다고 함자가 격리 중으로 보류
대모두수신불연후방,대 모두 수신 불연 후방
고객요청사항 되도록 늦은 방문요청 회선단말특이사항 안방 셋탑고장 와이파이 연결팝업진단결과기타추가연락처,고객 요청사항 되도록 늦은 방문 요청 회선 단말 특이사항 안방 셋탑 고장 와이파이 연결 팝업 진단 결과 기타 추가 연락처
고객요청사항부팅중오류메세지회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 부팅 중 오류 메시지회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
코로나이상무재확인필고객요청사항티 전원이 꺼짐회선단말특이사항진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티 전원이 꺼짐 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항기가지니 리모컨작동불 전원버튼부터 채널버튼등 다안됨 불안들어옴 건전지 교체해도 안됨 점검요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항기가 지니 리모컨 작동 불 전원 버튼부터 채널 버튼 등 다 안됨 불안 들어옴 건전지 교체해도 안됨 점검 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항대만시청중끊김현상점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 대만 시청 중 끊김 현상 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
무출동고객요청사항리모컨작동불 모든버튼안됨 택배배송요청하여 처리함회선단말특이사항진단결과기타추가연락처,무출동 고객 요청사항 리모컨 작동 불 모든 버튼 안됨 택배 배송 요청하여 처리 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
