,Label,sentence
1556,실시간 채널>수신 불량,수신 불 파워오프
1557,실시간 채널>수신 불량,고객 요청사항 독촉 시청 불 외부 입력 확인 셋탑리셋 동일회선 단말특이사항 진단 결과 링크 정상기 타 추가 연락처 확인시 당일 어렵다함
1558,실시간 채널>수신 불량,코로나 이 상무 고객 요청사 항 안방수시 수신불회선 단말특이사항 진단 결과망 구성도 셋탑 정상 초기화 기타 추가 연락처인
1559,실시간 채널>네트워크 오류,고객 요청사항리셋 건 수신불네트워크 오류 재부팅 후 동일 오늘만 시간 됨 부서 전달 시간 변경 못함 고객은 당일만 시간됨 연후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1560,실시간 채널>네트워크 오류,네트워크 오류 연 후방 무선 와이파이도 같이 점검 요청 공유기라고 함 업 실패회선 단말특이사항 진단 결과 기타 추가 연락처
1561,단말>STB(작동)이상,기가 지니 음성명령으로 온오프 시 셋탑만 꺼짐 이전 설치 이후 증상 발생 연 후방
1562,실시간 채널>수신 불량,일시 시시수신 불량 둘 다 점검 요청임의회 선코로나 증상무
1563,실시간 채널>수신 불량,티비 화면에 업데이트 메세지 지속적으로 뜨며 리모컨 작동 안 된다고 하심 티비 문제인지 방문 점검 요
1564,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 시간 내외 시청 중 화면 지지직 거림회선 단말특이사항 진단 결과 기타 추가 연락처
1565,실시간 채널>수신 불량,호수 신불일시 요망코로나무
1566,실시간 채널>수신 불량,독촉 빠른 방문 요청 취소나 우선 방문 가능시에 먼저 방문 요청 일시 안내 대 다 수신불 리셋안내
1567,실시간 채널>수신 불량,멀고 객 요청사항 수신불코로나 이 상 무월일 목요일 시시 사이 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
1568,실시간 채널>수신 불량,일시 수신 불재부팅 후에도 동일 코로나무
1569,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처
1570,단말>리모컨작동불가>택배발송,리모컨 택배 대리인
1571,AS접수/변경>장비리셋 후 재사용 요청,일리셋 접수 영상만 시청 불음성 나옴초기화호
1572,실시간 채널>수신 불량,고객 요청사항 시청 불 회선 단말특이사항 진단 결과 기타 추가 연락처
1573,실시간 채널>수신 불량,코로나 이 상무재확인 필 고객 요청사항 안방수신불회선 단말특이사항 진단 결과 기타 추가 연락처
1574,실시간 채널>수신 불량,고객 요청사항리셋 접수 건수신불재부팅 후 동일 증상 연후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1575,AS접수/변경>장비리셋 후 재사용 요청,리셋이관 수신불 리셋
1576,실시간 채널>수신 불량,차리셋해도 동일 연락 후 방문요 고객 요청사항리셋 접수 시간 내외 티비수 신불회선 단말특이사항 진단 결과 기타 추가 연락처
1577,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 재연결 후 일부 채널 안나옴연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1578,실시간 채널>화질 이상,차화질이상 줄 그어지는 증상 있음 접수 보류 고객 요청사항리셋 접수 화질이상 화면에 줄 그어져 있고 파랗게 뜸회선 단말 특이사항 진단 결과 기타 추가 연락처
1579,실시간 채널>수신 불량,고객 요청사항 임의 호 수신 불 주소 확인 회선단말특이사항 진단 결과 기타 추가 연락처
1580,AS접수/변경>장비리셋 후 재사용 요청,월일 리셋 접수 시청 불 로딩 나오다 아무것도 안 나오며 시청 불
1582,실시간 채널>수신 불량,최대한 빠른 방문 요청 고객 요청사항 거실 티비 신호 미약 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처인
1583,실시간 채널>수신 불량,코로나 이 상무 재확인필 고객 요청사항 수신 불 화면 안나옴 셋탑 교체 요청 회선 단말특이사항 진단 결과 기타 추가 연락처인 부재시
1584,실시간 채널>수신 불량,시 수신불
1585,실시간 채널>수신 불량,고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처 연후방 가능하다면 오늘 방문 요청하심
1586,단말>STB(작동)이상,코로나 이 상무 재확인 필 고객 요청사항 셋탑 노후되어 교체 요청 동일 기종 임 안내회선 단말특이사항 진단 결과 기타 추가 연락처
1587,고객원인>증설/구내선 정리요청,고객 요청사항 티비 선 재연결 위치 이동 없음 회선단말특이사항 진단 결과 기타 추가 연락처
1588,실시간 채널>전환 지연,고객 요청사항 채널 전환 지연 방문 전 연락 요회선 단말특이사항 진단 결과 기타 추가 연락처
1589,단말>리모컨작동불가>M&S내방안내,리모컨 작동 불본인 직영점 안내
1590,실시간 채널>화질 이상,고객 요청사항 화질이상 시청 중시시끊김 방문 전 연락요시쯤 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
1592,실시간 채널>수신 불량,리셋 접수건 대 모두 수신불
1593,실시간 채널>수신 불량,코로나 이 상무 고객 요청사항 시청 불 회선 단말특이사항 대중대만 안됨 진단 결과 기타 추가 연락처
1594,실시간 채널>수신 불량,고객 요청사항층 호수신불 외부 신고임의 접수연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1595,단말>STB(작동)이상,댁에 없으시니 전화 방문 전 필수 고객 요청사항 지니 전원 빨간불 흰 불로 안 바뀜 리셋 후 동일 회선단말특이사항 진단 결과 정상 기타 추가 연락처
1596,실시간 채널>수신 불량,월일시 거실에 설치된 소리는 나오는 대 화면 안 나옴
1597,단말>STB(작동)이상,임의호 일시셋탑 불이 안 들어온 다함수신불
1598,단말>리모컨작동불가>택배발송,리모컨 고장 일반 리모컨 받고 싶다 심거 통합 발송완
1599,단말>리모컨작동불가>택배발송,리모컨 안됨 매장 확인 하니 재고 없다고 함택배 배송통합설정 발송함
1600,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 시간 내외 시청 중 끊김회선 단말특이사항 진단 결과 기타 추가 연락처
1601,단말>STB(작동)이상,고객 요청사항 채팅셋 탑 전원 안 들어옴 전원 선 뺐다 꽂아도 동일 회선 단말특이사항 진단 결과 기타 추가 연락처
1602,실시간 채널>화질 이상,고객 요청사항 화면에 가운데 줄이 생기고 화면이 흔들린다고 함동일 증상으로 쪽으로 문의 햇으나 이상 없다고 재방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처 연후방
1603,실시간 채널>수신 불량,고객 요청사항리셋 건 접수 지니수신불회선 단말특이사항 진단 결과 기타 추가 연락처
1604,"고객원인>부주의, ID/PW 분실 등",코로나 이 상무 고객 요청사항 교체 후 재연결 요청 위치 이동 배정시 미리 연후방 진단 결과 정상기 타 추가 연락처
1605,실시간 채널>수신 불량,코로나 이 상무재확인 필 고객 요청사항 화면 안나옴 연락 후회선 단말특이사항 진단 결과 기타 추가 연락처
1606,실시간 채널>수신 불량,일 시 안내 빠른 방문 요청일 개통으로 불만 잦은 고장 보임시청 불올인 홈 정상
1607,실시간 채널>수신 불량,고객 요청사항 스카이라이프 티대 모두 수신 불 연 회 선단말 특이사항 진단 결과 기타 추가 연락 처 방문 전 연락요
1608,실시간 채널>수신 불량,고객 요청사항 티비 수신 불통화 연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1609,실시간 채널>네트워크 오류,고객 요청사항 네트워크 오류 진단 정상 회선 단말특이사항 진단 결과 기타 추가 연락처
1610,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 티 채널 돌릴 때마다 화질 흔들리고 깨짐
1611,실시간 채널>수신 불량,고객 요청사항 동 전체층 티비 수신불 회선 단말특이사항 진단 결과 기타 추가 연락처
1612,실시간 채널>수신 불량,멀고 객 요청사항 티비안됨 임의 접수 코로나무 회선 단말특이사항 진단 결과 기타 추가 연락처 임규동 직원이 접수함
1614,실시간 채널>수신 불량,고객 요청사항리셋 건층 수신 불 재부팅 후 동일 연후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1615,고객원인>IP 공유기 이상,독촉 빠른 방문 요청 임의회 선 호 고객 요청사항 넷플리스 시청 불가 현장 전달 오후에만 가능하다 심회선 단말특이사항 진단 결과 정상기 타 추가 연락처
1616,단말>리모컨작동불가>현장출동,방문 전 연락필 일오전 중기가 지니리모컨 파손 교체 비용 청구 안내완코로나 이 상무
1617,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 티비수 시 불 리셋 시간 전후 안내드림
1618,실시간 채널>화질 이상,고객 요청사항 리모컨 교체 이후 소리 나오는데 화면이 안 나옴 권한재 송출 안내 출동 접수 요청회선 단말특이사항 진단 결과 정상기 타 추가 연락처
1619,단말>리모컨작동불가>M&S내방안내,고객 요청사항 리모컨 일부 버안됨 채널 방향 기 셋탑리셋 본인 매장 확인 문자 발송 문자 발송회선 단말특이사항 진단 결과 기타 추가 연락처
1620,실시간 채널>네트워크 오류,연락 먼저 주세요 강아지 무서워하지 않는 기사분 방문 원함 코로나 이상 무재확인필 시청 불 시 시불 네트워크 오류 는 교체 받았다 함 리모컨도 교체 원함 안내함 회선 단말특이사항 진단 결과 기타 추가 연락처
1621,단말>STB(작동)이상,고객 요청사항 전원이 안 들어 오신다고 하십니다 연 후방 도착 전 분 전에 꼭 미리 연락을 주시고 방문 해달라고 요청 하십니다
1622,단말>STB(작동)이상,고객 요청사항 방림리 연 후방셋탑이상회선 단말특이사항 진단 결과 기타 추가 연락처
1623,단말>리모컨작동불가>택배발송,리모컨 고장 택배 배송 고객 요청사항 리모컨 한대고장본인 안내시 발송 거부 통합설정방법만 전송 매장 방문 불가 택배 배송아산로 대진산업 김미숙님 앞으로 배송처리 회선 단말특이사항 진단 결과 기타 추가 연락처
1624,실시간 채널>수신 불량,최대한 빠른 방문 요청 고객 요청사항 대수신불 세탑재 부팅 안내회선 단말특이사항 진단 결과 기타 추가 연락처
1625,실시간 채널>수신 불량,차리셋 후 동일미리 연락 후 방문 최대한 빠른 방문 요청 고객 요청사항리셋 접수 한 시간 전후 리콜 안내수신불회선 단말특이사항 진단 결과 기타 추가 연락처
1626,단말>리모컨작동불가>현장출동,리모컨 작동 불가 리모컨 교체 요청하심 연락 후 방문
1627,단말>STB(작동)이상,코로나 이 상무재확인필 고객 요청사항 지니 전원이상 회선 단말특이사항 일 시 접수 안내 진단 결과 임시방편 사용 기타 추가 연락처 연락후
1628,실시간 채널>음성 이상,코로나 이 상무재확인 필 고객 요청사항 티비 소리 작게 들린 다함 회선 단말 특이사항 진단 결과 기타 추가 연락처인
1630,실시간 채널>수신 불량,고객 요청사항 수신 불플라자 고나은 대리신고 회선 단말특이사항 진단 결과 기타 추가 연락처
1631,실시간 채널>수신 불량,고객 요청사항 시청 불 위성 신호 미약 리셋동일회선 단말특이사항 진단 결과 기타 추가 연락처
1632,단말>리모컨작동불가>현장출동,코로나 이 상무방문 전재확인 요망고객 요청사항 리모컨 작동이상회선 단말특이사항 일부 버튼 안됨 외부 신고 대리신고 리모컨만의 문제가 아닌 것 같다며 방문 점검 요청 명의자 본인 어플 전송선 안내했으나 거부 진단 결과 올인 홈 모뎀 정상기 타 추가 연락처 인 입
1633,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항 월일 리셋 접수 수신불로딩중이라고 나옴 시간 내외로 안내회선 단말특이사항 진단 결과 기타 추가 연락처
1634,AS접수/변경>임대단말 분실/파손,고객 요청사항 원리모컨 파손 리모컨 고장 엔지니어 방문해서 구매 및 교체 요청함 리모컨 구매대금 청구 필요회선 단말특이사항 진단 결과 기타 추가 연락처
1635,단말>리모컨작동불가>M&S내방안내,고객 요청사항 리모컨 작동 불가 전원 버튼 이외의 모든 버튼 사용 안됨 버트 자체가 고장이라고 함 주소 확인 회선 단말특이사항 진단 결과 기타 추가 연락처
1636,실시간 채널>수신 불량,가입한 지 얼마 안 되었는데 잦은 고장으로 불만 극심 빠른 방문 요청 당일 내로 방문 요청하시나 확인하니 당일 추가 안 된 다함 고객은 무조건 당일 방문 요청 고객 요청사항 긴급 독촉 시청 중에 갑자기 꺼짐 화면 안나옴 음성 정상 셋탑재 부팅회선 단말특이사항 진단 결과 기타 추가 연락처
1637,실시간 채널>수신 불량,호 수신 불연 후방
1638,실시간 채널>화질 이상,고객 요청사항 화질이상 모자이크 화면처러 나옴 재부팅해도 동일 회선 단말특이사항 진단 결과 기타 추가 연락처
1639,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 고객 요청사항 번만 화면이 번쩍하게 번져서 나온다심회선 단말특이사항 진단 결과 정상기 타 추가 연락처
1640,AS접수/변경>임대단말 분실/파손,일반 문의 서비스 번호 문의 내용 셋탑 분실 비용 발생 안내 현재 설치 주소지가 부산 원부 이전 주소지 비용 확인 현장 방문 분실등록 후 장비 설치 안내시 다시 연락한다고 함
1641,단말>리모컨작동불가>기타문의,리모컨 작동 불 재부팅 후 정상 작동됨 통합 리모컨 설정도 해드림
1642,실시간 채널>수신 불량,일시 수신 불입력 신호 없다고 나옴
1643,실시간 채널>수신 불량,고객 요청사항 티비 두 대 다 수신불연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1644,실시간 채널>수신 불량,코로나 이 상무 고객 요청사항 신호미약 올레쪽 정상 회선 단말특이사항 날씨 영향 없음진단 결과망 구성도 셋탑 정상 초기화 기타 추가 연락처
1645,고객원인>증설/구내선 정리요청,고객 요청사항 회선 구분 요청 셋탑박스들 바코드 및 지워져서 구분 어렵다시며 재기 재해달라 하심 세입자 중 가입된 상품 이용하지 않고 본인 타사 상품 이용중인 세입자가 있다시며 실제로 이용자 구분 요청도 하심 실사용자는 확인 어려울 수 있음 안내함 층 단자함 있으니 되도록 확인 요청하심회선 단말특이사항 진단 결과 기타 추가 연락처 고객 타입
1646,단말>리모컨작동불가>택배발송,기술 리콜리모컨 작동 불 안 들어오며 안됨 건전지 교체 해도 동일 리모컨 등록함
1647,실시간 채널>화질 이상,고객 요청사항 영상끊김 연락 후 방문회선 단말특이사항 진단 결과 기타 추가 연락처
1648,실시간 채널>수신 불량,수신불위성신로 약함 오류 메세지뜸코로나 안내
1649,실시간 채널>수신 불량,고객 요청사항 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처
1650,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 화면안나옴 음성메뉴창은 나온다함리셋
1651,실시간 채널>수신 불량,시 고객 요청사항 호안됨 회선 단말특이사항 진단 결과 기타 추가 연락처인
1652,실시간 채널>화질 이상,잦은 고장으로 꼼꼼한 점검 요청 티 화질이상 시청은 되지만 화면 상단만 나오고 하단은 지 직거리면서 안 나온다고 하심 연후방
1653,단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필 고객 요청사항 일시 방문 요청기가 지니리모콘 작동 불일부 버튼 안됨진단 결과 기타 추가 연락처인 연후방
1654,실시간 채널>수신 불량,코로나 이 상무 고객 요청사항기가 지니 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처
1655,"고객원인>부주의, ID/PW 분실 등",코로나무 고객 요청사항 시청 불 인터넷 연결오류난다함사설 공유기 추가 설치 후 안 된 다함 새로 연결한 공유기 통해 안 된다 하셔 공유기 단말 제조사안내하니 통한 안나온다며 점검 요청 미리 연후방 독촉 빠른 방문원 회선 단말특이사항 진단 결과 올인홈 댁 내 정상기 타 추가 연락처
1656,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 티비 수신불 화면 안나옴 셋탑 선 분리 후 재연결 했는데 안 된다 심 고장 접수 안내 하나 접수 보류회선 단말특이사항 진단 결과 기타 추가 연락처
1657,실시간 채널>음성 이상,고객 요청사항리셋 접수 건 음성이상 화면은 정상 나오나 음성 안나옴 재부팅 후에도 동일 증 예약 취소 건 생기거나 땅겨서 우선적으로 빠른 방문 가능하면 해줄 것 요청 독촉회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
1658,실시간 채널>수신 불량,고객 요청사항 수신 불리모컨도 안됨회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
1659,단말>리모컨작동불가>택배발송,리모컨 일부 버튼 잘 안됨 직영점 플라자 내 방안내 본인 재고 없다함 택배 발송 개
1660,단말>리모컨작동불가>M&S내방안내,고객 요청사항 리모컨 고장 대리인 인 입 리모컨 작동 시 인식이 제대로 안 된다고 함 전체 리셋 했으나 동일 리모컨 교체 희망 방문한다고 함 문자 발송회선 단말특이사항 진단 결과 신호 정상 비정상 기 타 추가 연락처
1661,지니뮤직>지니뮤직이상(기가지니),기가 지니 장희선 버전 기가 지니 콜드플레이 노래 들려줘 명령하면 곡만 콜드플레이 노래 들려주고 다음 곡은 다른 가수 노래를 들려준다고 함 고객센터 기가 지니 모두 시 음성으로 콜드 플레이 노래 들려줘 명령하면 화면에 음성 가이드 표시가 한 글로 콜드플레이로 인식 시 콜드 플레이 노래가 곡 이상 계속 나오고 음성 가이드 표시가 영어로로 인식 시 곡만 콜드플레이  노래 송출 다음 곡은 다른 가수 노래 송출됨 기가 지니앱에서 원격 제어로 콜드 플레이 노래 들려줘 명령 시 정상 영문으로 전송 시 곡만 콜드플레이 노래 재생됨 상위부서 전달 답변 확인 후 재발신 예정
1662,실시간 채널>수신 불량,고객 요청사항리셋 건 방수신불재부팅 후 동일 연후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1663,단말>STB(작동)이상,독촉 고객 요청사항 셋탑 전원안 끄짐 회선단말특이사항 진단 결과 기타 추가 연락처
1664,실시간 채널>수신 불량,차리셋 후 동일 신호 없음 미리 연락 후 방문 고객 요청사항리셋 접수 수신불회선 단말특이사항 진단 결과 기타 추가 연락처
1665,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋 안내 인 입
1666,실시간 채널>수신 불량,고객 요청사항 수신 불 회선 단말특이사항 진단 결과 기타 추가 연락처
1667,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항 네트워크 오류 포트리셋 안내 확인 후 재전주신다며 접수 보류 회선단말특이사항 진단 결과 비정상 기 타 추가 연락처 인
1668,실시간 채널>음성 이상,고객 요청사항 음성만 안들림 외부 신고 연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1669,실시간 채널>화질 이상,코로나 이 상무재확인필 화질 불량 깨짐 현상 회선 단말 특이사항 진단 결과 기타 추가 연락처
1670,AS접수/변경>임대단말 회수요청,사무실 철수로 임대 단말 일 해지 당일 회수 요청하십니다 키맨
1671,VOD/컨텐츠>화질 이상,코로나 이 상무 재확인 필 고객 요청사항 끊김 컨텐츠 이용 시 끊김실시간은 확인 안하심회선 단말특이사항 진단 결과 포트 정상기 타 추가 연락처인
1672,단말>리모컨작동불가>M&S내방안내,이 관건 리모컨 고 장 리모컨 누르지도 않았는데 혼자 깜빡이며 전원 켜지고 외부 입력 전환됨 본인 문자 발송업 실패
1673,실시간 채널>수신 불량,고객 요청사항 수신 불 연락 후 회선 단말특이사항 진단 결과 기타 추가 연락처
1674,단말>리모컨작동불가>M&S내방안내,고객 요청사항 리모컨 매장 방문 안내 후 종결회선 단말특이사항 진단 결과 기타 추가 연락처
1675,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 티비 내부 선 끊어짐 위치 이동무회선 단말특이사항 진단 결과 기타 추가 연락처
1676,단말>리모컨작동불가>택배발송,고객 요청사항 리모컨 모드 작동 불현재는 모든 버튼 작동 불 무료 배송 등록함 자가 격리 중임 회선 단말특이사항 기가 지니 진단 결과 기타 추가 연락처
1677,AS접수/변경>임대단말 분실/파손,멀리 모컨 파손 애가 던져서 버튼 들어 감 빠지지 않음 대리신고 따님 배송 담달 요금만원
1678,실시간 채널>네트워크 오류,고객 요청사항 티비 수시로 네트워크 오류 메세지 나온 다 주장 외부 방문 점검 요청회선 단말특이사항 진단 결과 기타 추가 연락처
1679,실시간 채널>수신 불량,월 일 시시 수신불 안방 오류메세지 셋탑 연결안 됐다고 나오신다심
1680,단말>STB(작동)이상,고객 요청사항 점검 요청 코로나 이 상무 재확인필 회선 단말특이사항 정상 진단 결과 기타 추가 연락처
1681,AS접수/변경>임대단말 분실/파손,서비스 번호 고객 명 구양숙 연락처 요청자 불만 내용 세입자가 셋탑을 가지고 갔는지 확인이 안 되고 있는 상태 셋탑 분실 경우 다시 재 설치 요청 시 금액이 어떻게 되는지 확인 요청 엔지니어 방문 후 손실보상금 확인됨 안내드렸으나 접수하지 말고 일단 금액 먼저 알려달라고 함 빠른 연락 요청 요구사항 빠른 연락 요청
1682,고객원인>특이고장,고객 요청사항 특이 고장티비 키면 라고 나옴회선 단말특이사항 진단 결과 기타 추가 연락처
1683,실시간 채널>수신 불량,수신 불 직원이 접수하라고 했다고 함
1684,실시간 채널>수신 불량,고객 요청사항 기사님 신고 수신 불 연락 후회선 단말특이사항 진단 결과 기타 추가 연락처
1685,실시간 채널>화질 이상,고객 요청사항 티비 대 모두 화면 끊김 화면이 계속 중간 중간 끊어진다고 함 평일은 시에 퇴근한다고 함 월일 첫 타임으로 제일 빠른 방문원함 독촉 회선 단말 특이사항 진단 결과 기타 추가 연락처
1686,VOD/컨텐츠>화질 이상,채팅 고객 요청사항기가 지니 시청 시 인터넷 접속이 불안정해서 재부팅이 되거나 연결 불량 셋탑 교체해도 서비스 개선 없이 접속 불량 계속 되고 있다며 불만 전체적으로 잘 점검해주세요 부모님 댁이라며 연락 요청 인증 김기환
1687,AS접수/변경>임대단말 분실/파손,리모컨 파손 문의 접수 보류
1688,단말>음성인식이상(기가지니),영업용 빠른 방문 희망일 오후기가 지니 리모컨 떨어뜨린 후 버튼 틀어져 작동 불이후 기가 지니 음성인식도 안됨 음성인식 버튼 확인했다 심 방문해서 점검 후 리모컨 구매도 함께 요청함 비용만원 안내
1689,실시간 채널>수신 불량,고객 요청사항 신호 없음 외부 입력 조정 정상 리모컨 매장 문자전송회선 단말특이사항 진단 결과 기타 추가 연락처
1690,단말>리모컨작동불가>현장출동,통화 안됨 방문 전문자 요청 고객 요청사항 리모컨 작동 불 교체 요청회 선 단말특이사항 진단 결과 정상기 타 추가 연락처
1691,실시간 채널>수신 불량,고객 요청사항 임의회 선 호티비수 신불 회선단말특이사항 진단 결과 기타 추가 연락처
1692,단말>리모컨작동불가>기타문의,리모컨 쪽 작동 불가 통합 설정 후 정상 작동 됨리모컨
1693,실시간 채널>수신 불량,고객 요청사항 수신 불 대 신호 없음뜸 재부팅 후 정상 사용됨회선 단말특이사항 진단 결과 기타 추가 연락처
1694,고객원인>증설/구내선 정리요청,고객 요청사항 티 정상 사용 중 위치 이동 거실에서 방으로 들어가는 선을 벽에 고정해 달라 심회선 단말특이사항 진단 결과 기타 추가 연락처
1696,실시간 채널>수신 불량,코로나 이 상무재확인 필 고객 요청사항 티비 화면 안 나 옴모뎀 셋톱 재부팅해도 동일 현상회선 단말특이사항 진단 결과 정상기 타 추가 연락처
1697,단말>리모컨작동불가>기타문의,리모컨 작동 불량 버튼을 여러 번 눌러야 작동이 된다고 함 작동 안 될 때도 버튼 누르면 리모콘 자체 센서 는 켜짐 재부팅 후 정상
1698,실시간 채널>수신 불량,고객 요청사항 주소지 임의 티 수신불 방문시 동일 주소지 인터넷 유무선 접속 불 같이 점검 요청 모뎀 장비 교체 요청 노후된 거 같다 하심 회선 단말특이사항 진단 결과 기타 추가 연락처
1699,실시간 채널>수신 불량,용수평 고객 요청사항 호 수신 불 대리신고 회선단말특이사항 진단 결과 기타 추가 연락처
1700,단말>리모컨작동불가>현장출동,고객 요청사항 리모컨 작동 안됨 리모컨 안 눌러도 들어 옴 교체 요청회선 단말특이사항 진단 결과 기타 추가 연락처
1701,실시간 채널>수신 불량,리셋 접수건 수신 불 바닷가라 바닷바람에 안테나가 상한 것 같다 심기 업 생략
1702,단말>STB(작동)이상,고객 요청사항 메뉴 내 넷플릭스 실행불 리모컨도 작동 불회선 단말특이사항 진단 결과 기타 추가 연락처
1703,AS접수/변경>장비리셋 후 재사용 요청,일 리셋 티 수신불 리셋인업 실패
1704,실시간 채널>수신 불량,고객 요청사항 시청 불 회선 단말특이사항 진단 결과 시험 정상 기타 추가 연락처
1705,"고객원인>부주의, ID/PW 분실 등",임의호 일시티비 선 연결 요청
1706,실시간 채널>수신 불량,고객 요청사항리셋 티비 수신 불신호 없음회선 단말특이사항 진단 결과 기타 추가 연락처 연락 후 방문
1707,단말>리모컨작동불가>택배발송,고객 요청사항 리모컨 작동 불 택배 요청하여 에 등록함 회선 단말특이사항 진단 결과 기타 추가 연락처
1708,실시간 채널>수신 불량,고객 요청사항 호수신불연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
1709,실시간 채널>화질 이상,고객 요청사항 호 실시간 정상 인터넷 오류뜸 빠른 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
1710,실시간 채널>수신 불량,코로나 이 상무재확인 필 고객 요청사항 시청 불 위성 신호 미약 리셋해도 동일 대 모두 동일 회선 단말특이사항 진단 결과 기타 추가 연락처
1711,실시간 채널>화질 이상,코로나 이 상무 재확인 필시시 방문 희망 고객 요청사항 채널 찍찍거리다 다시 돌아온다고 함 동일 증상 불만 셋탑 새것 아니고 중고 가져죠다고 불만 셋탑 완전 새로 교체 해달라고 함 밀봉되어 있는 새 제품 요청 아닐 경우 해지 한다고 함 회선 단말특이사항 진단 결과 정상기 타 추가 연락처인 입번호
1712,AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 소리 안나 옴리셋리 부팅
1713,시설이전>맨홀/전주/단자함/기타,신청인 여직원 연락처 주소 경기도 화성시 서신면 제부로 번길 요청사항 통신 전주가 작업장 가운데에 있어 작업 어려움 경계선 쪽으로 이설 요청 참고사항
1714,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 넷플릭스 사용 안됨 원래 안 되는 셋탑 맞음 안내 티비 자체 기능 있는지 확인 후 티비제조업체 의뢰 안내회선 단말특이사항 진단 결과 기타 추가 연락처
1715,AS접수/변경>장비리셋 후 재사용 요청,고객 요청사항리셋 접수 접속 불리셋 재부팅 회선 단말특이사항 진단 결과 기타 추가 연락처
1716,실시간 채널>화질 이상,고객 요청사항 시청은 가능하나 시청 중 자막이 나왔다 안 나왔다 반복된다고 하심 회선 단말특이사항 진단 결과 기타 추가 연락처
1717,실시간 채널>수신 불량,리모컨 채널 버튼 작동 안 된다시 나 전화 드리니 셋탑 전원 안 들어며 수신 불 전원 선 재연결 안내 후 정상 이용됨 재부팅
1718,실시간 채널>네트워크 오류,차리셋해도 동일 연락 후 방문요 고객 요청사항리셋 접수 수신 불스트림에러 댁 내 배선 점검 오류 뜸회선 단말특이사항 진단 결과 기타 추가 연락처
1719,단말>STB(작동)이상,최대한 늦게 방문 요청 고객 요청사항기가 지니 전원이 안 들어온다고 함 넷플릭스 유튜브 이용 시 버퍼링 현상같이 점검 요청 진단 결과
1720,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 호 부주의 티비 및 인터넷 재 연결 요청 회선단말특이사항 진단 결과 기타 추가 연락처
1721,단말>리모컨작동불가>현장출동,코로나 이 상무 고객 요청사항 지니리모컨 빨간불계속 깜박 임건 전지 확인 배송 거부 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
1722,실시간 채널>수신 불량,코로나 이 상무 고객 요청사항 기가 지니 신호 없음셋 탑재 부팅해도 외부 입력조정해도 동일 최대한 빠른 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
1723,고객원인>증설/구내선 정리요청,멀고 객 요청사항 티비 위치 변경 없고 본체고장으로 교체 점검 희망회선 단말특이사항 진단 결과 기타 추가 연락처 코로나 이 상 무 재확인필
1724,단말>리모컨작동불가>M&S내방안내,리모컨 고장 대리인 발송
1725,단말>리모컨작동불가>택배발송,리모컨 작동 이상 건전지 동일 교체 요청 배송
1726,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 수신 불 대 로딩 중 코로나 이 상무 회선 단말특이사항 진단 결과 셋탑 정상 기타 추가 연락처
